T_feed_K,P_feed_Pa,xF_benzene,N_stages,feed_stage,reflux_ratio,bottoms_flow_mols,xD_benzene,xB_toluene,QC_kW,QR_kW
367.0,101325.0,0.3243,14,7,2.171,59.0,0.766915,0.983277,4.1134,4.2232
357.9,101325.0,0.3385,17,8,3.822,48.3,0.654411,0.999648,8.015,8.2546
367.3,101325.0,0.5998,20,6,2.641,64.0,0.98875,0.618983,3.9825,1.455
343.8,101325.0,0.554,11,6,3.762,58.1,0.995856,0.764658,6.0531,6.3881
377.6,101325.0,0.6889,10,4,3.492,30.6,0.955211,0.915061,9.5383,6.2466
356.8,101325.0,0.2009,16,7,3.748,46.7,0.376671,0.999712,8.367,8.6896
361.2,101325.0,0.4867,12,7,3.77,55.3,0.990776,0.920806,6.4755,6.6029
371.7,101325.0,0.7354,17,8,1.537,43.3,0.975218,0.578635,4.3831,1.1365
346.1,101325.0,0.5132,12,6,3.561,63.4,0.995792,0.765393,5.0643,5.3849
378.7,101325.0,0.3463,13,5,2.216,63.2,0.684263,0.850489,3.7898,0.4644
373.8,101325.0,0.3409,14,6,2.865,40.8,0.573742,0.996948,7.429,5.6685
340.8,101325.0,0.2346,14,7,3.262,53.2,0.498639,0.997674,6.5276,7.0899
349.7,101325.0,0.2192,10,6,2.604,60.3,0.499214,0.965154,4.6821,5.1114
366.5,101325.0,0.4034,17,4,1.868,36.3,0.632911,0.99935,5.8898,5.9498
381.7,101325.0,0.6777,20,5,2.999,65.2,0.993618,0.490918,4.2239,0.852
353.5,101325.0,0.5528,20,10,2.788,52.5,0.995917,0.848158,5.4585,5.6609
356.1,101325.0,0.7908,20,9,3.422,48.9,0.999199,0.426975,6.8501,6.8783
347.1,101325.0,0.2995,11,7,3.796,53.6,0.626156,0.983276,7.1804,7.6096
381.1,101325.0,0.4335,13,5,1.988,65.3,0.782452,0.751931,3.2724,0.0922
378.2,101325.0,0.3021,17,5,3.345,38.7,0.492605,0.999655,8.7217,5.4088
340.7,101325.0,0.2609,18,7,1.579,61.9,0.675484,0.994277,3.1503,3.7101
344.3,101325.0,0.5636,12,4,1.746,35.4,0.854466,0.967186,5.5319,5.8654
353.7,101325.0,0.2067,12,5,2.945,69.4,0.625962,0.978161,3.8952,4.2787
371.3,101325.0,0.5052,19,10,2.398,64.2,0.933916,0.733872,3.7379,0.6567
360.4,101325.0,0.368,17,8,1.864,31.5,0.537062,0.999641,6.3954,6.5624
383.4,101325.0,0.5261,10,5,3.673,43.4,0.880072,0.935528,8.2103,4.8466
379.0,101325.0,0.7383,11,7,3.332,44.3,0.997439,0.587525,7.3176,3.9901
358.4,101325.0,0.7237,14,5,3.612,30.2,0.998628,0.911815,9.7602,9.8149
344.4,101325.0,0.6579,12,4,2.166,41.9,0.99322,0.807092,5.5835,5.8641
358.6,101325.0,0.219,13,6,2.004,53.6,0.462871,0.992112,4.5768,4.8637
355.1,101325.0,0.2631,12,3,3.526,62.1,0.670561,0.985574,5.5032,5.8333
365.0,101325.0,0.3397,10,4,1.945,50.4,0.625651,0.941711,4.7135,4.8281
351.2,101325.0,0.7559,18,7,1.762,56.3,0.995809,0.430317,3.6617,3.7737
382.8,101325.0,0.6252,14,4,2.034,68.4,0.970441,0.534297,2.9243,0.464
344.4,101325.0,0.7048,13,7,1.567,30.8,0.983856,0.922101,5.4028,5.6701
351.7,101325.0,0.4725,19,12,2.749,58.5,0.993125,0.896806,4.7227,4.9997
372.2,101325.0,0.2878,15,5,2.739,49.0,0.56249,0.998101,6.1992,6.1598
344.8,101325.0,0.6947,16,7,1.59,69.3,0.991699,0.436871,2.4144,2.6423
344.5,101325.0,0.3493,13,6,1.781,32.0,0.51129,0.994927,6.1811,6.6054
359.5,101325.0,0.5967,11,6,3.09,64.5,0.996031,0.623086,4.4046,4.4692
342.9,101325.0,0.7601,20,12,3.366,61.1,0.9989,0.391935,5.149,5.3761
341.0,101325.0,0.5137,19,9,2.869,39.3,0.846187,0.999828,7.3342,7.7491
345.9,101325.0,0.7464,15,6,3.026,64.7,0.998483,0.391135,4.309,4.4987
350.9,101325.0,0.2339,10,3,2.794,52.5,0.462707,0.973115,5.9175,6.3159
363.8,101325.0,0.6439,17,11,3.963,44.2,0.998497,0.803769,8.3966,6.8857
363.2,101325.0,0.2975,13,4,2.426,41.1,0.501899,0.995421,6.6018,6.7654
376.4,101325.0,0.4675,16,5,2.161,48.4,0.846159,0.936195,5.0938,1.8141
340.2,101325.0,0.6485,13,4,3.574,59.7,0.998256,0.5876,5.5892,5.914
378.5,101325.0,0.7842,16,7,2.491,59.2,0.995892,0.361696,4.321,0.9925
364.0,101325.0,0.3658,12,7,3.239,39.2,0.59662,0.992205,8.3459,8.4636
356.4,101325.0,0.6372,14,4,3.223,40.0,0.997501,0.90331,7.6841,7.8096
371.7,101325.0,0.6576,10,5,1.653,42.1,0.937694,0.727614,4.7164,1.4741
343.0,101325.0,0.278,14,8,1.505,56.2,0.616935,0.986151,3.5443,4.0509
376.3,101325.0,0.3216,12,5,1.992,41.4,0.532928,0.977525,5.7181,2.6171
342.3,101325.0,0.5963,16,5,2.527,66.1,0.995274,0.608317,3.6277,3.947
383.5,101325.0,0.281,18,5,3.177,47.3,0.532556,0.999274,7.1793,3.807
360.4,101325.0,0.7857,10,5,3.756,67.5,0.998569,0.316792,4.6864,2.4978
351.6,101325.0,0.4402,13,8,3.167,59.6,0.987456,0.930802,5.1164,5.4173
380.2,101325.0,0.7772,20,13,2.633,60.8,0.996119,0.363945,4.3202,0.9715
355.0,101325.0,0.2195,17,4,1.862,46.2,0.407523,0.999452,5.0792,5.4202
350.8,101325.0,0.4513,19,7,2.238,59.5,0.985378,0.912206,3.9873,4.291
349.2,101325.0,0.7847,15,9,2.085,55.5,0.997636,0.386033,4.1631,4.2912
352.6,101325.0,0.7133,11,7,1.844,38.8,0.991251,0.72513,5.2855,5.4132
344.0,101325.0,0.5419,19,5,3.378,46.3,0.997268,0.986316,7.13,7.5022
340.8,101325.0,0.5655,19,7,3.487,41.6,0.968195,0.999724,7.9962,8.4003
357.9,101325.0,0.5572,10,6,3.357,66.7,0.994342,0.661043,4.403,4.512
362.4,101325.0,0.6939,14,6,1.534,32.2,0.979723,0.907876,5.23,3.6314
363.7,101325.0,0.2369,17,10,1.918,31.3,0.344751,0.999822,6.6419,6.8229
347.8,101325.0,0.6865,16,6,2.81,58.2,0.997761,0.537052,4.8294,5.0244
365.4,101325.0,0.325,17,4,3.706,42.3,0.563097,0.999779,8.8269,8.9443
380.0,101325.0,0.3262,16,9,1.596,47.6,0.560973,0.932248,4.423,1.0839
381.2,101325.0,0.7715,19,7,2.53,49.4,0.996285,0.458745,5.4182,2.0618
368.8,101325.0,0.3447,12,5,2.077,55.8,0.738429,0.967176,4.3216,4.3855
341.5,101325.0,0.2746,10,5,3.219,70.0,0.766745,0.936319,4.0046,4.5388
350.4,101325.0,0.4787,18,12,2.043,30.2,0.685719,0.999773,6.8003,7.0728
375.0,101325.0,0.5883,11,3,2.083,43.9,0.931011,0.849651,5.3174,2.0479
380.9,101325.0,0.3317,13,8,2.616,39.0,0.539004,0.992544,7.1891,3.8415
374.1,101325.0,0.3052,15,6,2.367,56.8,0.691374,0.988508,4.6532,3.3699
377.2,101325.0,0.5693,13,7,2.572,31.7,0.827646,0.987323,7.6432,4.3508
367.6,101325.0,0.5689,12,6,3.301,37.5,0.898059,0.979691,8.3168,6.1434
367.5,101325.0,0.3457,15,7,3.431,44.3,0.619686,0.998791,7.97,8.0469
351.9,101325.0,0.2918,12,3,2.743,51.8,0.592253,0.987771,5.8452,6.2016
367.3,101325.0,0.2601,17,8,2.671,47.3,0.493163,0.999571,6.3346,6.4552
370.0,101325.0,0.7673,14,7,3.786,37.1,0.998903,0.625364,9.1266,5.9055
342.2,101325.0,0.7999,13,4,3.66,38.6,0.999353,0.517364,8.6736,8.9007
377.9,101325.0,0.7154,17,6,2.373,64.7,0.990775,0.434843,3.6161,0.2891
360.0,101325.0,0.4892,15,8,3.32,39.6,0.808769,0.998221,8.2004,8.3365
377.2,101325.0,0.4494,18,9,3.344,69.5,0.956533,0.773158,4.0527,0.7473
383.2,101325.0,0.6909,17,6,1.856,38.8,0.979855,0.764873,5.3207,1.9531
344.8,101325.0,0.4637,14,4,2.508,33.8,0.698855,0.996867,7.4215,7.7899
358.9,101325.0,0.4039,18,9,1.509,59.6,0.909781,0.939013,3.1292,3.3303
376.2,101325.0,0.5135,18,6,3.131,52.6,0.983722,0.910236,5.9557,2.6867
359.0,101325.0,0.4694,19,12,2.157,66.1,0.983734,0.794378,3.2552,3.403
366.4,101325.0,0.2412,11,6,3.201,49.4,0.464456,0.987479,6.9789,7.1227
346.2,101325.0,0.4331,18,10,2.453,60.7,0.9874,0.925817,4.1243,4.5103
379.5,101325.0,0.7897,17,10,3.412,32.9,0.998875,0.636915,8.9753,5.6495
374.4,101325.0,0.4568,13,7,2.702,33.0,0.678033,0.992368,7.9494,4.6811
342.6,101325.0,0.7707,20,11,1.55,46.1,0.995267,0.491863,4.1702,4.4023
365.9,101325.0,0.4687,15,5,1.541,65.1,0.949371,0.788985,2.7165,2.7536
372.6,101325.0,0.3593,14,4,1.793,36.4,0.562066,0.994983,5.7751,4.3542
340.7,101325.0,0.7361,13,5,3.675,43.6,0.999035,0.604027,7.9935,8.2738
350.3,101325.0,0.2719,10,6,3.049,43.5,0.463571,0.977051,7.5113,7.893
364.1,101325.0,0.3126,16,8,3.616,41.5,0.534074,0.999597,8.8057,8.9488
358.5,101325.0,0.2215,16,9,3.395,47.4,0.420738,0.999595,7.618,7.902
352.9,101325.0,0.7666,17,10,2.901,38.3,0.998854,0.607554,7.2971,7.3903
369.5,101325.0,0.6724,18,7,3.751,65.4,0.996592,0.499114,4.9862,1.7552
345.0,101325.0,0.5913,19,8,3.866,36.3,0.928214,0.999886,9.5349,9.857
341.4,101325.0,0.2301,12,4,2.092,39.2,0.374418,0.99374,6.2164,6.7613
364.6,101325.0,0.6221,10,3,2.785,58.7,0.992362,0.638408,4.7459,3.1609
384.8,101325.0,0.4102,20,5,2.146,49.6,0.764533,0.949848,5.0184,1.6322
347.6,101325.0,0.654,10,4,3.938,38.5,0.985762,0.875902,9.2329,9.4756
383.6,101325.0,0.6804,12,3,3.968,45.2,0.997714,0.704309,8.2558,4.8792
370.7,101325.0,0.6184,15,8,3.936,45.7,0.997328,0.831831,8.1285,4.9133
347.4,101325.0,0.6904,14,4,3.449,40.5,0.99867,0.762498,8.0258,8.2435
372.0,101325.0,0.7033,17,6,3.118,51.0,0.996692,0.578585,6.1204,2.8693
340.0,101325.0,0.7253,12,4,1.964,58.0,0.995955,0.470691,3.7765,4.0627
344.7,101325.0,0.6424,15,9,2.131,63.7,0.994586,0.558296,3.4489,3.7087
359.1,101325.0,0.3896,19,6,2.605,64.5,0.983411,0.937277,3.8928,4.1037
369.1,101325.0,0.453,15,6,2.565,47.2,0.851924,0.993249,5.8725,4.7308
384.5,101325.0,0.7149,11,3,2.02,49.8,0.986515,0.558895,4.6084,1.2124
359.7,101325.0,0.3312,10,4,3.513,33.0,0.484465,0.979973,9.9089,10.1033
351.3,101325.0,0.2901,17,10,3.884,34.2,0.440828,0.999896,10.5726,10.9252
366.6,101325.0,0.7205,12,4,3.268,62.0,0.996747,0.448812,4.9192,1.7218
358.0,101325.0,0.3037,19,10,3.57,54.7,0.67019,0.999809,6.642,6.9031
